NAICS Code,Kind of Business,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,Furniture stores ………………………………………...…………………………………………………………………………………………………,"62,238","64,198","63,301","61,288","60,295","58,328","53,921","51,200","49,752","47,658","46,664","45,810","52,708","59,288","60,122","58,745","55,849","51,719","51,264","50,572","50,617","47,022","44,110","41,877","39,168","36,977","35,503","33,299","31,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4422,Home furnishings stores ………………………………………...…………………………………………………………………………………………………,"50,785","56,452","55,725","54,021","52,025","49,556","46,630","44,553","41,790","39,928","38,541","38,939","46,012","51,856","52,673","50,375","47,908","45,017","43,174","40,912","40,553","37,272","33,302","30,838","28,539","26,493","24,913","22,157","20,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44221,Floor covering stores …………………………………………………………………………………………………………………………………………………,"23,662","23,937","23,821","22,495","20,961","19,524","18,023","16,893","15,483","14,758","14,573","15,302","18,764","22,071","23,154","22,125","20,907","19,543","19,025","19,208","19,519","18,409","16,961","16,050","14,639","13,704","12,765","11,460","10,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44229,Other home furnishings stores …………………………………………………………………………………………………………………………………………………,"27,123","32,515","31,904","31,526","31,064","30,032","28,607","27,660","26,307","25,170","23,968","23,637","27,248","29,785","29,519","28,250","27,001","25,474","24,149","21,704","21,034","18,863","16,341","14,788","13,900","12,789","12,148","10,697","10,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442299,All other home furnishings stores ………………………………………...………………….………………………………………………………………,"25,298","30,597","30,045","29,876","29,513","28,607","27,241","26,428","25,195","24,080","22,868","22,468","25,696","28,063","27,724","26,579","25,579","24,213","22,897","20,547","19,916","17,761","15,288","13,791","12,851","11,763","11,189","9,787","9,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"75,978","90,934","94,105","92,424","93,963","100,175","102,844","103,511","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4431,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"75,978","90,934","94,105","92,424","93,963","100,175","102,844","103,511","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44314,Electronics and appliance stores ………………………………………...…………………………………………………………………………………………………,"75,978","90,934","94,105","92,424","93,963","100,175","102,844","103,511","103,882","101,978","99,589","97,899","108,384","110,341","110,091","106,122","100,013","92,850","91,208","88,493","90,422","87,363","82,731","77,657","76,060","72,379","64,370","55,132","48,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443141,Household appliance stores ………………………………………...…………………………………………………………………………………………………,"18,202","16,925","16,938","16,806","17,527","17,294","17,202","17,194","16,415","15,807","15,456","15,289","16,988","17,799","17,745","16,792","15,608","14,464","14,205","13,479","12,630","12,082","11,099","10,374","10,215","9,980","9,045","9,137","8,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443142,Electronics stores ………………………………………...…………………………………………………………………………………………………,"57,776","74,009","77,167","75,618","76,436","82,881","85,642","86,317","87,467","86,171","84,133","82,610","91,396","92,542","92,346","89,330","84,405","78,386","77,003","75,014","77,792","75,281","71,632","67,283","65,845","62,399","55,325","45,995","40,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
