"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"31388","1365","8600000US00985","ZCTA5 00985"
"52270","2162","8600000US00987","ZCTA5 00987"
"16064","941","8600000US01001","ZCTA5 01001"
"30099","613","8600000US01002","ZCTA5 01002"
"11588","568","8600000US01003","ZCTA5 01003"
"5166","292","8600000US01005","ZCTA5 01005"
"15080","21","8600000US01007","ZCTA5 01007"
"1116","169","8600000US01008","ZCTA5 01008"
"649","369","8600000US01009","ZCTA5 01009"
"3663","18","8600000US01010","ZCTA5 01010"
"1486","252","8600000US01011","ZCTA5 01011"
"595","137","8600000US01012","ZCTA5 01012"
"22739","1248","8600000US01013","ZCTA5 01013"
"30249","1293","8600000US01020","ZCTA5 01020"
"2203","400","8600000US01022","ZCTA5 01022"
"1030","271","8600000US01026","ZCTA5 01026"
"17641","182","8600000US01027","ZCTA5 01027"
"16215","40","8600000US01028","ZCTA5 01028"
"572","157","8600000US01029","ZCTA5 01029"
"12563","937","8600000US01030","ZCTA5 01030"
"1436","329","8600000US01031","ZCTA5 01031"
"482","127","8600000US01032","ZCTA5 01032"
"6310","23","8600000US01033","ZCTA5 01033"
"2115","242","8600000US01034","ZCTA5 01034"
"5328","14","8600000US01035","ZCTA5 01035"
"5174","22","8600000US01036","ZCTA5 01036"
"642","217","8600000US01037","ZCTA5 01037"
"2653","268","8600000US01038","ZCTA5 01038"
"1368","228","8600000US01039","ZCTA5 01039"
"40161","31","8600000US01040","ZCTA5 01040"
"2454","274","8600000US01050","ZCTA5 01050"
"1850","644","8600000US01053","ZCTA5 01053"
"1875","188","8600000US01054","ZCTA5 01054"
"21223","41","8600000US01056","ZCTA5 01056"
"8778","87","8600000US01057","ZCTA5 01057"
"16386","669","8600000US01060","ZCTA5 01060"
"9693","685","8600000US01062","ZCTA5 01062"
"623","171","8600000US01063","ZCTA5 01063"
"30","46","8600000US01066","ZCTA5 01066"
"1636","138","8600000US01068","ZCTA5 01068"
"8716","624","8600000US01069","ZCTA5 01069"
"679","118","8600000US01070","ZCTA5 01070"
"1392","255","8600000US01071","ZCTA5 01071"
"1541","213","8600000US01072","ZCTA5 01072"
"6169","20","8600000US01073","ZCTA5 01073"
"396","292","8600000US01074","ZCTA5 01074"
"17715","19","8600000US01075","ZCTA5 01075"
"9722","22","8600000US01077","ZCTA5 01077"
"515","269","8600000US01079","ZCTA5 01079"
"2419","448","8600000US01080","ZCTA5 01080"
"1937","263","8600000US01081","ZCTA5 01081"
"10341","175","8600000US01082","ZCTA5 01082"
"3125","556","8600000US01083","ZCTA5 01083"
"165","63","8600000US01084","ZCTA5 01084"
"41758","209","8600000US01085","ZCTA5 01085"
"351","170","8600000US01086","ZCTA5 01086"
"588","267","8600000US01088","ZCTA5 01088"
"28527","32","8600000US01089","ZCTA5 01089"
"1200","412","8600000US01092","ZCTA5 01092"
"295","108","8600000US01093","ZCTA5 01093"
"428","204","8600000US01094","ZCTA5 01094"
"14740","82","8600000US01095","ZCTA5 01095"
"2288","278","8600000US01096","ZCTA5 01096"
"93","56","8600000US01097","ZCTA5 01097"
"1182","133","8600000US01098","ZCTA5 01098"
"1989","260","8600000US01103","ZCTA5 01103"
"23150","1668","8600000US01104","ZCTA5 01104"
"12651","1395","8600000US01105","ZCTA5 01105"
"15982","172","8600000US01106","ZCTA5 01106"
"11693","1173","8600000US01107","ZCTA5 01107"
"26397","1819","8600000US01108","ZCTA5 01108"
"30684","1942","8600000US01109","ZCTA5 01109"
"14839","1131","8600000US01118","ZCTA5 01118"
"13253","1191","8600000US01119","ZCTA5 01119"
"2989","794","8600000US01128","ZCTA5 01128"
"6296","497","8600000US01129","ZCTA5 01129"
"9485","992","8600000US01151","ZCTA5 01151"
"0","13","8600000US01199","ZCTA5 01199"
"43941","227","8600000US01201","ZCTA5 01201"
"8129","56","8600000US01220","ZCTA5 01220"
"720","279","8600000US01222","ZCTA5 01222"
"2499","265","8600000US01223","ZCTA5 01223"
"163","92","8600000US01224","ZCTA5 01224"
"3093","53","8600000US01225","ZCTA5 01225"
"6698","70","8600000US01226","ZCTA5 01226"
"59","46","8600000US01229","ZCTA5 01229"
"8354","537","8600000US01230","ZCTA5 01230"
"2369","256","8600000US01235","ZCTA5 01235"
"1577","371","8600000US01236","ZCTA5 01236"
"2522","233","8600000US01237","ZCTA5 01237"
"5980","157","8600000US01238","ZCTA5 01238"
"4666","264","8600000US01240","ZCTA5 01240"
"337","230","8600000US01242","ZCTA5 01242"
"258","81","8600000US01243","ZCTA5 01243"
"120","75","8600000US01244","ZCTA5 01244"
"774","205","8600000US01245","ZCTA5 01245"
"15340","174","8600000US01247","ZCTA5 01247"
"789","130","8600000US01253","ZCTA5 01253"
"961","144","8600000US01254","ZCTA5 01254"
"891","146","8600000US01255","ZCTA5 01255"
"701","151","8600000US01256","ZCTA5 01256"
"1858","350","8600000US01257","ZCTA5 01257"
"604","256","8600000US01258","ZCTA5 01258"
"617","166","8600000US01259","ZCTA5 01259"
"191","101","8600000US01260","ZCTA5 01260"
"1136","301","8600000US01262","ZCTA5 01262"
"214","92","8600000US01264","ZCTA5 01264"
"1281","166","8600000US01266","ZCTA5 01266"
"7796","81","8600000US01267","ZCTA5 01267"
"897","158","8600000US01270","ZCTA5 01270"
"17611","77","8600000US01301","ZCTA5 01301"
"1594","191","8600000US01330","ZCTA5 01330"
"13609","269","8600000US01331","ZCTA5 01331"
"2442","264","8600000US01337","ZCTA5 01337"
"150","93","8600000US01338","ZCTA5 01338"
"1410","180","8600000US01339","ZCTA5 01339"
"1780","213","8600000US01340","ZCTA5 01340"
"1796","177","8600000US01341","ZCTA5 01341"
"1165","281","8600000US01342","ZCTA5 01342"
"78","52","8600000US01343","ZCTA5 01343"
"1343","158","8600000US01344","ZCTA5 01344"
