"SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Per capita personal consumption expenditures (PCE) by state (Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"40000","Oklahoma",16822,17551,18446,19583,20408,20871,21886,22928,24475,25815,26932,27949,27143,28060,29249,30007,30528,31454,31714,32148,32945,34483,35081,34533
"41000","Oregon",20218,21111,22288,23590,24194,24830,25793,27433,28955,30346,31545,31860,30905,31682,32592,33143,33967,35256,36522,37566,39384,41350,42871,42055
"42000","Pennsylvania",20899,21992,23335,24923,25986,26895,28407,29886,31357,32648,33907,34990,34512,35859,37118,37878,38586,39607,40661,41548,42931,45049,46478,44650
"44000","Rhode Island",20199,21292,22485,24132,25199,26328,27983,29386,31120,32589,33801,34439,34159,34804,35819,36193,37121,38366,39465,40397,41726,43351,44604,42944
"45000","South Carolina",18289,19125,20224,21375,22020,22668,23607,24989,26451,27559,28714,29288,28556,29642,30565,31051,31889,32956,33709,34615,35661,37031,38122,37554
"46000","South Dakota",17478,18319,19436,20577,21491,22379,23613,25115,26735,28214,29536,30692,30617,31864,33050,33840,34556,35573,36999,37983,39457,41187,42383,41825
"47000","Tennessee",19229,19922,20974,22127,22604,23228,24047,25245,26532,27636,28759,29083,28403,29383,30512,31139,31489,32579,33341,34357,35561,36978,38185,37499
"48000","Texas",19049,20050,21133,22536,23387,23819,24582,25703,27228,28329,29493,30219,29620,30588,31910,32863,33739,35079,35893,36688,37842,39419,40495,39661
"49000","Utah",17608,18204,18919,19969,20525,21161,21962,23333,24666,26098,27385,27738,26631,26899,27726,28728,29471,30689,31749,32860,34276,36088,37451,37369
"50000","Vermont",21468,22701,24121,25735,27142,28280,29814,31537,33312,34851,36004,37352,37157,38391,40102,41226,42168,43608,44206,44974,45977,48047,49285,47397
"51000","Virginia",20691,21778,23211,24737,25652,26708,28076,29850,31725,33209,34585,35511,34807,35821,36786,37474,37973,38886,39499,40392,41429,43092,44124,42757
"53000","Washington",20983,22716,24116,25689,26144,26811,28087,29606,31176,32802,34270,35251,34350,35016,36186,37169,38164,39505,40658,42031,43863,46157,47688,46041
"54000","West Virginia",16664,17437,18411,19492,20307,21102,21953,23208,24380,25356,26355,27395,27731,28761,30027,30874,31446,32186,33050,34015,35113,36869,37938,37206
