Table 1. Estimated Sales of U.S. Merchant Wholesalers:  1992 through 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Sales estimates are shown in millions of dollars and are based on data from the Annual Wholesale Trade Survey.  Estimates have been adjusted using results of the 2017 Economic Census],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 NAICS Code,Data Item                                                        ,Kind of Business ,Type of Operation                                                        ,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Sales,"Hardware, and Plumbing and Heating Equipment and Supplies",Merchant Wholesalers,"213,189","209,529","200,255","188,271","177,670","168,324","159,766","148,244","140,891","128,683","117,697","110,722","130,483","132,257","129,519","114,244","100,102","88,842","84,579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4238,Sales,"Machinery, Equipment, and Supplies",Merchant Wholesalers,"580,335","621,157","619,276","564,565","526,348","547,995","572,548","541,717","521,275","472,712","404,626","362,407","455,809","429,560","419,280","387,925","341,908","303,202","297,936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4239,Sales,Miscellaneous Durable Goods,Merchant Wholesalers,"272,750","253,788","271,326","250,608","227,644","226,405","262,377","260,901","264,985","275,825","229,624","181,346","250,290","235,683","217,058","199,404","190,930","157,668","156,822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sales,Nondurable Goods,Merchant Wholesalers,"4,246,728","4,667,136","4,680,337","4,344,405","4,033,592","4,080,681","4,438,712","4,292,376","4,137,103","3,906,878","3,401,008","3,025,944","3,457,938","3,082,215","2,835,588","2,659,676","2,408,015","2,202,177","2,037,705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Sales,Paper and Paper Products,Merchant Wholesalers,"152,398","161,522","165,467","165,478","157,703","154,868","151,111","143,242","137,763","135,914","132,949","127,835","141,530","139,601","141,712","136,022","128,722","116,980","114,411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242,Sales,Drugs and Druggists' Sundries,Merchant Wholesalers,"1,068,717","1,015,317","972,101","931,671","906,796","850,759","769,815","708,169","684,554","666,003","634,525","605,522","597,401","562,328","547,742","518,166","472,320","430,360","386,858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,Sales,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,"131,720","166,734","167,973","169,733","169,904","172,783","168,638","161,237","153,745","148,660","142,221","131,672","145,724","148,154","138,201","132,253","124,563","117,854","118,346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4244,Sales,Grocery and Related Products,Merchant Wholesalers,"1,025,484","1,028,239","1,011,904","991,140","965,840","944,834","911,679","866,919","836,361","786,100","737,868","708,707","716,056","690,286","643,153","620,457","598,402","589,428","558,242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Sales,Farm Product Raw Materials,Merchant Wholesalers,"200,710","200,153","212,188","212,390","216,892","230,111","262,516","274,287","254,530","234,122","188,296","168,117","197,612","145,787","111,885","105,952","115,579","111,758","103,403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246,Sales,Chemicals and Allied Products,Merchant Wholesalers,"230,594","247,633","255,968","239,961","218,392","221,813","234,183","223,102","213,661","207,019","184,155","156,716","199,153","182,177","168,968","164,269","148,558","133,284","126,126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Sales,Petroleum and Petroleum Products,Merchant Wholesalers,"863,449","1,291,027","1,353,350","1,117,270","893,666","1,007,436","1,455,304","1,427,820","1,385,511","1,286,670","970,471","731,678","1,045,452","832,245","720,744","628,868","486,511","393,758","321,246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248,Sales,"Beer, Wine, and Distilled Alcoholic Beverages",Merchant Wholesalers,"190,533","178,451","169,877","162,186","158,121","150,435","145,963","145,209","136,768","129,426","122,902","120,760","121,578","115,571","108,564","103,905","96,248","91,231","87,559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,Sales,Miscellaneous Nondurable Goods,Merchant Wholesalers,"383,123","378,060","371,509","354,576","346,278","347,642","339,503","342,391","334,210","312,964","287,621","274,937","293,432","266,066","254,619","249,784","237,112","217,524","221,514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices","5,795,028","6,071,354","6,098,697","5,700,968","5,339,689","5,387,234","5,629,484","5,404,157","5,211,528","4,887,628","4,339,199","3,830,607","4,525,024","4,223,473","3,941,257","3,638,496","3,330,011","2,978,282","2,835,528","2,785,152","2,814,554","2,599,159","2,427,120","2,377,845","2,284,343","2,158,980","1,974,899","1,848,215","1,767,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices","2,847,389","2,906,314","2,922,568","2,732,543","2,548,176","2,553,528","2,580,053","2,474,299","2,393,081","2,232,235","2,001,087","1,746,786","2,127,382","2,101,969","2,005,139","1,830,347","1,689,588","1,466,158","1,421,503","1,422,195","1,486,673","1,406,371","1,306,545","1,256,384","1,190,342","1,141,701","1,037,638","939,945","861,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices","439,713","483,014","469,273","449,987","428,865","433,019","418,024","404,865","397,085","340,365","304,838","258,092","311,815","341,227","335,753","303,768","283,835","260,267","251,947","234,902","222,243","212,357","183,741","172,343","172,064","169,736","171,071","160,302","157,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232,Sales,Furniture and Home Furnishings,"Merchant Wholesalers, except manufacturers' sales branches and offices","96,872","97,201","94,819","91,838","85,853","81,113","77,621","72,011","67,523","61,149","57,406","54,459","65,983","69,112","69,081","63,006","59,807","55,490","53,484","52,433","52,697","46,925","43,020","40,227","38,095","36,575","33,317","32,149","31,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4233,Sales,Lumber and Other Construction Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices","169,719","161,399","160,773","148,167","135,786","122,888","114,728","106,484","94,080","88,310","86,454","86,283","114,202","126,543","141,704","139,034","127,454","105,146","95,091","89,730","87,179","88,505","79,784","77,452","72,755","66,292","65,376","58,502","51,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,Sales,Professional and Commercial Equipment and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices","508,580","515,903","503,204","472,839","456,127","446,314","435,976","424,592","412,646","412,060","397,833","353,457","381,662","381,807","353,174","332,819","310,256","279,643","272,462","267,795","282,230","281,843","257,518","237,178","220,240","197,924","165,421","155,207","133,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42343,Sales, Computer and Computer Peripheral Equipment and Software,"Merchant Wholesalers, except manufacturers' sales branches and offices","268,715","265,717","264,420","244,168","234,115","232,886","229,385","224,808","217,938","222,171","220,075","182,085","198,186","198,806","183,658","179,044","166,151","148,690","150,618","153,845","174,848","175,779","157,836","142,060","126,877","109,579","87,492","76,657","65,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345,Sales," Medical, Dental, and Hospital Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices","151,798","145,723","136,980","129,774","126,987","121,171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Sales,Metals and Minerals (except Petroleum),"Merchant Wholesalers, except manufacturers' sales branches and offices","146,202","181,766","193,787","168,726","145,576","162,937","188,944","175,958","180,601","172,501","138,364","113,036","181,251","165,861","158,202","136,133","120,757","81,205","81,746","84,847","93,806","86,514","88,514","91,553","86,177","87,029","81,680","72,190","70,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Sales,Household Appliances and Electrical and Electronic Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices","600,060","590,442","615,514","585,203","539,236","546,145","533,862","510,028","476,025","428,107","391,153","339,115","368,349","348,960","319,575","284,403","265,016","232,560","222,957","231,864","260,041","224,125","201,145","195,615","187,154","186,611","159,121","134,649","113,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Sales,"Hardware, and Plumbing and Heating Equipment and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices","173,362","168,609","160,509","149,912","141,113","134,049","127,594","118,788","112,291","103,765","96,073","90,390","108,814","112,204","109,064","95,016","84,150","74,428","70,431","69,047","72,056","68,505","65,540","62,531","59,077","56,382","53,209","46,415","44,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4238,Sales,"Machinery, Equipment, and Supplies","Merchant Wholesalers, except manufacturers' sales branches and offices","451,011","464,421","463,648","424,792","396,575","408,892","428,326","407,646","394,418","356,604","305,271","276,478","352,350","328,820","311,938","287,698","259,353","230,427","227,758","247,226","256,089","247,993","243,698","223,850","206,588","191,252","174,411","161,824","147,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4239,Sales,Miscellaneous Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices","261,870","243,559","261,041","241,079","219,045","218,171","254,978","253,927","258,412","269,374","223,695","175,476","242,956","227,435","206,648","188,470","178,960","146,992","145,627","144,351","160,332","149,604","143,585","155,635","148,192","149,900","134,032","118,707","111,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sales,Nondurable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices","2,947,639","3,165,040","3,176,129","2,968,425","2,791,513","2,833,706","3,049,431","2,929,858","2,818,447","2,655,393","2,338,112","2,083,821","2,397,642","2,121,504","1,936,118","1,808,149","1,640,423","1,512,124","1,414,025","1,362,957","1,327,881","1,192,788","1,120,575","1,121,461","1,094,001","1,017,279","937,261","908,270","905,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Sales,Paper and Paper Products,"Merchant Wholesalers, except manufacturers' sales branches and offices","82,872","89,527","92,298","91,958","92,195","92,833","93,964","91,040","90,232","88,357","85,997","83,003","91,324","91,264","90,406","87,230","81,904","74,052","72,646","76,232","77,774","73,158","69,102","66,492","64,844","66,069","55,435","50,212","48,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242,Sales,Drugs and Druggists' Sundries,"Merchant Wholesalers, except manufacturers' sales branches and offices","763,898","721,803","693,588","662,492","644,566","605,267","540,643","487,067","462,610","443,362","415,918","392,137","376,322","351,783","340,845","322,378","293,023","271,955","245,625","210,672","175,979","151,527","125,599","107,379","94,321","83,732","76,375","68,997","67,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,Sales,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices","129,536","164,149","165,234","166,970","166,968","169,380","164,905","157,349","148,923","143,317","136,959","126,347","138,063","139,674","128,451","121,214","113,729","107,037","105,803","98,961","96,501","90,369","86,821","84,358","73,112","67,595","68,524","65,682","62,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4244,Sales,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices","675,770","685,095","676,357","660,609","635,395","633,324","614,174","578,081","556,276","519,246","491,345","474,603","487,254","475,772","436,655","422,166","402,916","402,063","385,881","377,179","374,725","356,093","341,626","330,211","317,821","309,048","289,903","283,704","274,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Sales,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices","200,710","200,153","212,188","212,390","216,892","230,111","262,516","274,287","254,530","234,122","188,296","168,117","197,612","145,787","111,885","105,952","115,579","111,758","103,403","100,886","102,666","100,411","110,042","132,883","144,965","125,548","103,641","102,007","109,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246,Sales,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices","114,873","126,117","131,556","120,761","111,367","117,374","128,477","124,238","122,353","117,971","102,738","89,177","115,650","102,257","94,713","90,868","78,857","70,932","67,721","64,183","62,259","57,713","56,300","56,048","53,589","50,265","43,290","39,887","39,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Sales,Petroleum and Petroleum Products,"Merchant Wholesalers, except manufacturers' sales branches and offices","505,676","718,744","758,464","627,026","511,435","584,085","856,543","829,421","811,609","759,821","590,969","435,817","661,725","508,593","443,235","379,056","288,868","231,568","192,666","191,529","195,766","139,739","119,015","139,508","143,493","126,478","125,399","127,728","137,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248,Sales,"Beer, Wine, and Distilled Alcoholic Beverages","Merchant Wholesalers, except manufacturers' sales branches and offices","171,495","159,624","151,571","145,362","141,286","134,779","129,614","129,501","122,044","116,422","111,345","108,799","109,305","103,825","98,382","92,225","86,918","82,844","79,189","74,854","71,337","67,330","61,759","58,312","55,945","52,495","52,021","50,821","50,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,Sales,Miscellaneous Nondurable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices","302,809","299,828","294,873","280,857","271,409","266,553","258,595","258,874","249,870","232,775","214,545","205,821","220,387","202,549","191,546","187,060","178,629","159,915","161,091","168,461","170,874","156,448","150,311","146,270","145,911","136,049","122,673","119,232","116,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,"2,242,332","2,535,712","2,531,680","2,331,241","2,170,924","2,157,348","2,249,488","2,179,474","2,091,889","1,970,005","1,723,882","1,528,696","1,775,259","1,765,972","1,723,378","1,670,617","1,562,110","1,431,691","1,358,533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Sales,Durable Goods,Manufacturers' sales branches and offices,"943,243","1,033,616","1,027,472","955,261","928,845","910,373","860,207","816,956","773,233","718,520","660,986","586,573","714,963","805,261","823,908","819,090","794,518","741,638","734,853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Manufacturers' sales branches and offices,"421,876","470,682","471,816","440,345","447,650","429,640","386,873","368,175","338,054","298,291","266,821","208,679","261,390","339,457","349,850","347,946","353,320","334,411","331,859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232,Sales,Furniture and Home Furnishings,Manufacturers' sales branches and offices,"22,844","25,457","24,857","23,223","22,670","22,191","20,932","20,441","19,556","18,830","17,683","18,092","20,894","23,365","22,557","22,664","20,638","18,462","17,944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4233,Sales,Lumber and Other Construction Materials,Manufacturers' sales branches and offices,"50,895","50,124","49,575","46,329","44,914","45,253","45,318","43,269","41,609","39,138","36,668","37,089","42,484","44,817","41,134","35,759","29,419","24,098","20,416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,Sales,Professional and Commercial Equipment and Supplies,Manufacturers' sales branches and offices,"134,108","134,950","131,041","125,485","114,231","103,578","95,645","88,848","84,590","82,837","88,278","102,506","105,155","103,322","112,541","124,376","132,216","135,967","133,985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42343,Sales, Computer and Computer Peripheral Equipment and Software,Manufacturers' sales branches and offices,"14,849","14,952","15,574",S,"13,803",S,"14,386","13,883","14,149","15,044","24,916","44,169","49,464","54,489","58,737","71,669","78,598","84,596","81,903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
