Table 1. Estimated Sales of U.S. Merchant Wholesalers:  1992 through 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Sales estimates are shown in millions of dollars and are based on data from the Annual Wholesale Trade Survey.  Estimates have been adjusted using results of the 2017 Economic Census],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 NAICS Code,Data Item                                                        ,Kind of Business ,Type of Operation                                                        ,2020,2019r,2018r,2017r,2016r,2015r,2014r,2013r,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345,Sales," Medical, Dental, and Hospital Equipment and Supplies",Manufacturers' sales branches and offices,"108,785","108,754","104,796","99,817","89,744","77,378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Sales,Metals and Minerals (except Petroleum),Manufacturers' sales branches and offices,"48,621","57,111","59,139","51,946","47,163","51,361","57,928","57,520","63,877","64,954","55,032","42,228","64,851","61,188","60,890","55,983","47,810","38,315","35,709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Sales,Household Appliances and Electrical and Electronic Goods,Manufacturers' sales branches and offices,"84,868","87,407","85,385","80,272","77,288","76,738","69,718","68,202","63,517","66,993","69,596","65,848",S,"104,071",S,"101,973","100,638","92,520","99,419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Sales,"Hardware, and Plumbing and Heating Equipment and Supplies",Manufacturers' sales branches and offices,"39,827","40,920","39,746","38,359","36,557","34,275","32,172","29,456","28,600","24,918","21,624","20,332","21,669","20,053","20,455","19,228","15,952","14,414","14,148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4238,Sales,"Machinery, Equipment, and Supplies",Manufacturers' sales branches and offices,"129,324","156,736","155,628","139,773","129,773","139,103","144,222","134,071","126,857","116,108","99,355","85,929","103,459","100,740","107,342","100,227","82,555","72,775","70,178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4239,Sales,Miscellaneous Durable Goods,Manufacturers' sales branches and offices,"10,880","10,229","10,285","9,529","8,599","8,234","7,399","6,974","6,573","6,451","5,929","5,870","7,334","8,248","10,410","10,934","11,970",S,"11,195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sales,Nondurable Goods,Manufacturers' sales branches and offices,"1,299,089","1,502,096","1,504,208","1,375,980","1,242,079","1,246,975","1,389,281","1,362,518","1,318,656","1,251,485","1,062,896","942,123","1,060,296","960,711","899,470","851,527","767,592","690,053","623,680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Sales,Paper and Paper Products,Manufacturers' sales branches and offices,"69,526","71,995","73,169","73,520","65,508","62,035","57,147","52,202","47,531","47,557","46,952","44,832","50,206","48,337","51,306","48,792",S,"42,928","41,765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242,Sales,Drugs and Druggists' Sundries,Manufacturers' sales branches and offices,"304,819","293,514","278,513","269,179","262,230","245,492","229,172","221,102","221,944","222,641","218,607","213,385","221,079","210,545","206,897","195,788","179,297","158,405","141,233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,Sales,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,S,S,"2,739",S,"2,936","3,403","3,733","3,888","4,822","5,343","5,262","5,325","7,661","8,480","9,750","11,039","10,834","10,817","12,543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4244,Sales,Grocery and Related Products,Manufacturers' sales branches and offices,"349,714","343,144","335,547","330,531","330,445","311,510","297,505","288,838","280,085","266,854","246,523","234,104","228,802","214,514","206,498","198,291","195,486","187,365","172,361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246,Sales,Chemicals and Allied Products,Manufacturers' sales branches and offices,"115,721","121,516","124,412","119,200","107,025","104,439","105,706","98,864","91,308","89,048","81,417","67,539","83,503","79,920","74,255","73,401","69,701","62,352","58,405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Sales,Petroleum and Petroleum Products,Manufacturers' sales branches and offices,"357,773","572,283","594,886","490,244","382,231","423,351","598,761","598,399","573,902","526,849","379,502","295,861","383,727","323,652","277,509","249,812","197,643","162,190","128,580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248,Sales,"Beer, Wine, and Distilled Alcoholic Beverages",Manufacturers' sales branches and offices,"19,038","18,827","18,306","16,824","16,835","15,656","16,349","15,708","14,724","13,004","11,557","11,961","12,273","11,746",S,"11,680","9,330","8,387","8,370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,Sales,Miscellaneous Nondurable Goods,Manufacturers' sales branches and offices,"80,314","78,232","76,636","73,719","74,869","81,089","80,908","83,517","84,340","80,189","73,076","69,116","73,045","63,517","63,073","62,724","58,483","57,609","60,423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S - Estimate does not meet publication standards because of high sampling variability, poor response quality, or other concerns about the estimate's quality.  Unpublished estimates derived from this table by subtraction are subject to these same limitations and should not be attributed to the U.S. Census Bureau.  For a description of publication standards and the total quantity response rate, see https://www.census.gov/about/policies/quality/standards/standardf1.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA - Estimate is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are no manufacturers' sales branches and offices in NAICS code 4245.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 2002 revision of NAICS redefined merchant wholesale to include manufacturers' sales branches and offices.  Prior to the revision, manufacturers' sales branches and offices were not included in data for merchant wholesalers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates have not been adjusted for price changes.  Table 1A provides estimated measures of sampling variability.  Additional information on confidentiality protection, sampling error, sample design, and definitions may be found at https://www.census.gov/programs-surveys/awts/technical-documentation/methodology.html. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID:  CBDRB-FY22-041).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r Revised data.  For more information on the revisions, see the 2020 Summary of Changes at https://www2.census.gov/programs-surveys/awts/tables/2020/2020_summary_of_changes.pdf. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
